AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
21.0,4.0,19.0,5.0,4640.0,31.0,17.0,40.0,1.0,1.0
22.0,2.0,19.0,5.0,51.0,29.0,17.0,20.0,2.0,1.0
21.0,4.0,19.0,5.0,230.0,215.0,17.0,18.0,2.0,6.0
18.0,1.0,18.0,5.0,7220.0,31.0,17.0,45.0,1.0,1.0
22.0,1.0,16.0,5.0,6260.0,31.0,16.0,40.0,1.0,1.0
23.0,4.0,20.0,5.0,9620.0,303.0,17.0,10.0,2.0,1.0
20.0,1.0,19.0,5.0,9130.0,31.0,17.0,40.0,1.0,1.0
23.0,1.0,19.0,5.0,4030.0,31.0,17.0,27.0,1.0,1.0
18.0,5.0,19.0,5.0,9830.0,6.0,17.0,55.0,1.0,7.0
19.0,1.0,18.0,5.0,4020.0,19.0,17.0,35.0,2.0,1.0
18.0,1.0,18.0,5.0,6050.0,31.0,17.0,50.0,2.0,1.0
26.0,1.0,19.0,5.0,9620.0,13.0,17.0,40.0,1.0,8.0
17.0,4.0,18.0,5.0,4130.0,6.0,17.0,24.0,2.0,1.0
27.0,6.0,14.0,5.0,9620.0,303.0,16.0,24.0,1.0,1.0
20.0,2.0,19.0,5.0,5300.0,31.0,17.0,15.0,2.0,1.0
20.0,1.0,19.0,5.0,4110.0,55.0,17.0,20.0,2.0,1.0
20.0,2.0,18.0,5.0,4251.0,31.0,17.0,37.0,1.0,1.0
19.0,6.0,18.0,5.0,4600.0,20.0,17.0,5.0,2.0,1.0
45.0,1.0,19.0,3.0,6230.0,25.0,16.0,40.0,1.0,8.0
35.0,1.0,17.0,3.0,5610.0,19.0,17.0,40.0,1.0,1.0
18.0,1.0,19.0,5.0,4720.0,31.0,17.0,8.0,2.0,9.0
19.0,1.0,18.0,5.0,4020.0,31.0,17.0,10.0,2.0,1.0
19.0,1.0,18.0,5.0,4020.0,19.0,17.0,35.0,2.0,1.0
19.0,1.0,19.0,5.0,4110.0,47.0,17.0,50.0,2.0,1.0
19.0,1.0,19.0,5.0,8740.0,27.0,17.0,35.0,1.0,1.0
20.0,1.0,19.0,5.0,1021.0,31.0,17.0,20.0,1.0,1.0
19.0,3.0,18.0,5.0,4251.0,27.0,17.0,40.0,1.0,1.0
21.0,2.0,19.0,5.0,2300.0,31.0,17.0,25.0,2.0,1.0
21.0,2.0,19.0,5.0,7010.0,31.0,17.0,20.0,2.0,1.0
19.0,2.0,18.0,5.0,4030.0,31.0,17.0,20.0,2.0,1.0
19.0,2.0,18.0,5.0,2723.0,38.0,17.0,10.0,1.0,1.0
19.0,3.0,18.0,5.0,4622.0,6.0,17.0,15.0,1.0,2.0
18.0,1.0,18.0,5.0,4110.0,46.0,17.0,30.0,2.0,1.0
21.0,1.0,19.0,5.0,5740.0,31.0,17.0,20.0,2.0,1.0
19.0,1.0,19.0,5.0,3603.0,31.0,17.0,20.0,1.0,1.0
19.0,1.0,16.0,5.0,4251.0,19.0,17.0,40.0,1.0,1.0
20.0,1.0,19.0,5.0,2722.0,31.0,17.0,10.0,2.0,1.0
20.0,4.0,19.0,5.0,2350.0,31.0,17.0,12.0,2.0,1.0
52.0,1.0,13.0,3.0,8990.0,31.0,17.0,35.0,1.0,1.0
19.0,2.0,18.0,5.0,5320.0,207.0,17.0,10.0,2.0,6.0
19.0,1.0,16.0,5.0,6260.0,8.0,17.0,12.0,1.0,1.0
26.0,1.0,19.0,5.0,9620.0,13.0,17.0,40.0,1.0,8.0
19.0,1.0,19.0,5.0,220.0,31.0,17.0,40.0,1.0,1.0
39.0,1.0,16.0,1.0,4010.0,303.0,16.0,50.0,1.0,1.0
18.0,1.0,19.0,5.0,3602.0,31.0,17.0,15.0,2.0,1.0
21.0,1.0,19.0,5.0,4435.0,31.0,17.0,30.0,1.0,1.0
19.0,1.0,19.0,5.0,4020.0,20.0,17.0,30.0,1.0,1.0
18.0,1.0,18.0,5.0,3603.0,31.0,17.0,18.0,2.0,1.0
20.0,2.0,19.0,5.0,5260.0,18.0,17.0,25.0,2.0,1.0
18.0,1.0,18.0,5.0,4720.0,31.0,17.0,15.0,1.0,1.0
18.0,2.0,16.0,5.0,5860.0,13.0,17.0,5.0,2.0,1.0
19.0,4.0,19.0,5.0,5740.0,31.0,17.0,14.0,2.0,2.0
21.0,1.0,19.0,5.0,1545.0,31.0,17.0,40.0,1.0,1.0
37.0,1.0,16.0,5.0,6260.0,31.0,16.0,30.0,1.0,1.0
26.0,1.0,19.0,5.0,9620.0,13.0,17.0,40.0,1.0,8.0
19.0,1.0,19.0,5.0,4600.0,6.0,17.0,3.0,2.0,1.0
19.0,1.0,18.0,5.0,4720.0,31.0,17.0,18.0,2.0,1.0
18.0,3.0,19.0,5.0,1970.0,31.0,17.0,9.0,2.0,1.0
21.0,1.0,19.0,5.0,9130.0,31.0,17.0,15.0,1.0,1.0
40.0,2.0,22.0,1.0,2002.0,45.0,17.0,60.0,1.0,9.0
22.0,2.0,19.0,5.0,51.0,29.0,17.0,20.0,2.0,1.0
18.0,1.0,13.0,5.0,4020.0,132.0,16.0,15.0,1.0,1.0
19.0,1.0,18.0,5.0,4720.0,31.0,17.0,20.0,1.0,1.0
18.0,6.0,18.0,5.0,4251.0,17.0,17.0,20.0,1.0,1.0
22.0,1.0,19.0,5.0,1970.0,31.0,17.0,15.0,1.0,1.0
19.0,1.0,18.0,5.0,4020.0,19.0,17.0,35.0,2.0,1.0
19.0,1.0,18.0,5.0,9640.0,31.0,17.0,20.0,1.0,1.0
19.0,1.0,16.0,5.0,4030.0,31.0,17.0,20.0,2.0,1.0
19.0,1.0,19.0,5.0,9620.0,31.0,17.0,39.0,2.0,1.0
20.0,6.0,19.0,5.0,4251.0,29.0,17.0,30.0,1.0,1.0
40.0,1.0,16.0,1.0,8990.0,5.0,16.0,40.0,1.0,9.0
37.0,1.0,16.0,5.0,9645.0,31.0,16.0,40.0,1.0,1.0
20.0,1.0,19.0,5.0,4720.0,31.0,17.0,22.0,2.0,1.0
18.0,1.0,18.0,5.0,4110.0,31.0,17.0,4.0,2.0,1.0
20.0,1.0,19.0,5.0,1021.0,31.0,17.0,20.0,1.0,1.0
19.0,1.0,18.0,5.0,9350.0,20.0,17.0,16.0,1.0,1.0
18.0,6.0,16.0,5.0,205.0,31.0,17.0,50.0,1.0,1.0
40.0,6.0,10.0,1.0,7200.0,17.0,16.0,55.0,1.0,8.0
21.0,1.0,19.0,5.0,9130.0,31.0,17.0,15.0,1.0,1.0
19.0,1.0,16.0,5.0,6050.0,46.0,17.0,40.0,1.0,1.0
21.0,1.0,19.0,5.0,1545.0,31.0,17.0,40.0,1.0,1.0
20.0,3.0,19.0,5.0,4251.0,31.0,17.0,40.0,1.0,1.0
34.0,6.0,17.0,5.0,4850.0,19.0,16.0,45.0,1.0,1.0
19.0,3.0,16.0,5.0,3960.0,31.0,17.0,30.0,1.0,8.0
18.0,1.0,18.0,5.0,4140.0,31.0,17.0,25.0,1.0,1.0
21.0,4.0,19.0,5.0,5860.0,19.0,17.0,40.0,2.0,1.0
21.0,1.0,19.0,5.0,1545.0,31.0,17.0,40.0,1.0,1.0
20.0,1.0,19.0,5.0,4720.0,15.0,17.0,10.0,1.0,9.0
21.0,5.0,19.0,5.0,1980.0,48.0,17.0,40.0,2.0,1.0
27.0,5.0,21.0,5.0,1430.0,427.0,17.0,40.0,1.0,2.0
37.0,1.0,16.0,5.0,9645.0,31.0,16.0,40.0,1.0,1.0
49.0,7.0,19.0,1.0,310.0,31.0,16.0,40.0,2.0,1.0
21.0,2.0,19.0,5.0,4030.0,332.0,17.0,20.0,2.0,2.0
18.0,1.0,18.0,5.0,5240.0,27.0,17.0,20.0,2.0,1.0
18.0,1.0,18.0,5.0,4720.0,31.0,17.0,15.0,2.0,1.0
20.0,1.0,19.0,5.0,4760.0,303.0,16.0,48.0,1.0,8.0
19.0,1.0,19.0,5.0,2145.0,31.0,17.0,13.0,2.0,1.0
20.0,1.0,19.0,5.0,5740.0,46.0,17.0,20.0,2.0,1.0
18.0,4.0,19.0,5.0,5400.0,31.0,17.0,25.0,2.0,1.0
45.0,1.0,20.0,5.0,4220.0,8.0,16.0,55.0,1.0,1.0
40.0,1.0,16.0,1.0,8990.0,5.0,16.0,40.0,1.0,9.0
20.0,4.0,18.0,5.0,1970.0,31.0,17.0,38.0,1.0,1.0
19.0,1.0,19.0,5.0,6260.0,31.0,17.0,40.0,1.0,1.0
34.0,4.0,13.0,5.0,4220.0,12.0,16.0,5.0,1.0,1.0
49.0,7.0,19.0,1.0,310.0,31.0,16.0,40.0,2.0,1.0
26.0,1.0,19.0,5.0,9620.0,13.0,17.0,40.0,1.0,8.0
18.0,2.0,16.0,5.0,4600.0,16.0,17.0,10.0,2.0,1.0
18.0,1.0,18.0,5.0,4760.0,31.0,17.0,17.0,2.0,1.0
18.0,1.0,18.0,5.0,4760.0,31.0,17.0,17.0,2.0,1.0
20.0,3.0,19.0,5.0,4251.0,31.0,17.0,40.0,1.0,1.0
21.0,2.0,19.0,5.0,230.0,31.0,17.0,55.0,1.0,1.0
22.0,1.0,19.0,5.0,1021.0,19.0,17.0,25.0,1.0,1.0
18.0,1.0,18.0,5.0,9610.0,17.0,17.0,15.0,1.0,1.0
20.0,4.0,19.0,5.0,2350.0,31.0,17.0,12.0,2.0,1.0
28.0,1.0,19.0,5.0,800.0,31.0,17.0,40.0,2.0,1.0
22.0,4.0,19.0,5.0,4622.0,46.0,17.0,30.0,1.0,1.0
24.0,1.0,16.0,5.0,9620.0,17.0,16.0,27.0,1.0,2.0
19.0,1.0,18.0,5.0,9350.0,20.0,17.0,16.0,1.0,1.0
25.0,3.0,16.0,5.0,4030.0,31.0,16.0,2.0,1.0,1.0
21.0,4.0,19.0,5.0,1970.0,31.0,17.0,12.0,1.0,1.0
20.0,6.0,18.0,5.0,4600.0,31.0,17.0,5.0,2.0,1.0
20.0,2.0,19.0,5.0,5740.0,31.0,17.0,2.0,2.0,1.0
18.0,1.0,16.0,5.0,6260.0,303.0,17.0,38.0,1.0,8.0
22.0,1.0,16.0,5.0,6260.0,31.0,16.0,40.0,1.0,1.0
18.0,1.0,19.0,5.0,4251.0,27.0,17.0,35.0,1.0,1.0
20.0,3.0,19.0,5.0,4251.0,31.0,17.0,40.0,1.0,1.0
18.0,1.0,16.0,5.0,9365.0,31.0,17.0,20.0,1.0,1.0
20.0,2.0,19.0,5.0,4251.0,31.0,17.0,12.0,1.0,1.0
33.0,1.0,16.0,1.0,4140.0,31.0,16.0,35.0,2.0,1.0
36.0,1.0,17.0,3.0,4251.0,48.0,17.0,10.0,1.0,1.0
19.0,2.0,18.0,5.0,2722.0,31.0,17.0,20.0,2.0,1.0
19.0,1.0,19.0,5.0,310.0,17.0,17.0,35.0,1.0,1.0
28.0,1.0,16.0,1.0,6355.0,31.0,16.0,50.0,1.0,1.0
46.0,4.0,19.0,4.0,8300.0,31.0,16.0,5.0,1.0,3.0
22.0,2.0,19.0,5.0,230.0,15.0,17.0,10.0,1.0,6.0
19.0,1.0,18.0,5.0,4760.0,31.0,17.0,15.0,2.0,1.0
20.0,4.0,18.0,5.0,1970.0,31.0,17.0,38.0,1.0,1.0
19.0,2.0,18.0,5.0,4030.0,31.0,17.0,20.0,2.0,1.0
26.0,1.0,19.0,5.0,9620.0,13.0,17.0,40.0,1.0,8.0
21.0,4.0,18.0,5.0,4420.0,31.0,17.0,15.0,2.0,1.0
18.0,2.0,16.0,5.0,5860.0,13.0,17.0,5.0,2.0,1.0
26.0,1.0,16.0,5.0,8800.0,6.0,16.0,60.0,1.0,2.0
18.0,2.0,18.0,5.0,4110.0,19.0,17.0,8.0,2.0,3.0
61.0,1.0,17.0,3.0,4220.0,26.0,16.0,15.0,1.0,1.0
19.0,6.0,19.0,5.0,4600.0,29.0,17.0,13.0,2.0,1.0
28.0,1.0,19.0,5.0,800.0,31.0,17.0,40.0,2.0,1.0
21.0,2.0,19.0,5.0,4640.0,303.0,17.0,35.0,1.0,8.0
23.0,3.0,16.0,5.0,4251.0,31.0,16.0,5.0,1.0,1.0
19.0,1.0,19.0,5.0,220.0,31.0,17.0,40.0,1.0,1.0
18.0,1.0,16.0,5.0,3960.0,27.0,17.0,30.0,2.0,1.0
18.0,2.0,19.0,5.0,4020.0,29.0,17.0,13.0,1.0,1.0
18.0,1.0,18.0,5.0,4760.0,31.0,17.0,17.0,2.0,1.0
19.0,1.0,19.0,5.0,4110.0,20.0,17.0,40.0,1.0,1.0
19.0,1.0,18.0,5.0,4760.0,8.0,17.0,25.0,2.0,1.0
18.0,1.0,18.0,5.0,4110.0,31.0,17.0,25.0,2.0,1.0
19.0,4.0,19.0,5.0,2350.0,31.0,17.0,15.0,1.0,1.0
29.0,1.0,19.0,3.0,6260.0,31.0,17.0,45.0,1.0,1.0
18.0,1.0,16.0,5.0,6260.0,31.0,17.0,40.0,1.0,1.0
18.0,2.0,18.0,5.0,4110.0,19.0,17.0,8.0,2.0,3.0
19.0,2.0,18.0,5.0,5850.0,8.0,17.0,10.0,1.0,1.0
23.0,1.0,19.0,5.0,5260.0,19.0,17.0,30.0,1.0,1.0
18.0,1.0,18.0,5.0,3603.0,31.0,17.0,18.0,2.0,1.0
30.0,1.0,16.0,1.0,9130.0,31.0,16.0,38.0,1.0,1.0
33.0,1.0,16.0,1.0,4140.0,31.0,16.0,35.0,2.0,1.0
47.0,1.0,18.0,1.0,9130.0,18.0,16.0,38.0,1.0,1.0
19.0,1.0,19.0,5.0,4622.0,29.0,17.0,40.0,1.0,2.0
19.0,2.0,19.0,5.0,5860.0,31.0,17.0,25.0,1.0,1.0
43.0,4.0,19.0,1.0,8300.0,29.0,16.0,5.0,1.0,1.0
19.0,1.0,18.0,5.0,9365.0,31.0,17.0,20.0,1.0,1.0
19.0,1.0,16.0,5.0,4251.0,19.0,17.0,40.0,1.0,1.0
21.0,2.0,19.0,5.0,2205.0,6.0,17.0,20.0,2.0,1.0
49.0,7.0,19.0,1.0,310.0,31.0,16.0,40.0,2.0,1.0
19.0,4.0,18.0,5.0,5400.0,31.0,17.0,7.0,1.0,1.0
21.0,4.0,19.0,5.0,4640.0,31.0,17.0,40.0,1.0,1.0
18.0,1.0,16.0,5.0,4055.0,56.0,17.0,25.0,2.0,1.0
24.0,1.0,16.0,5.0,9620.0,17.0,16.0,27.0,1.0,2.0
34.0,1.0,17.0,5.0,9620.0,40.0,17.0,10.0,1.0,1.0
19.0,1.0,18.0,5.0,4055.0,17.0,17.0,15.0,2.0,1.0
36.0,3.0,16.0,5.0,4140.0,31.0,16.0,5.0,1.0,1.0
19.0,2.0,18.0,5.0,5850.0,8.0,17.0,10.0,1.0,1.0
27.0,5.0,21.0,5.0,1430.0,427.0,17.0,40.0,1.0,2.0
19.0,3.0,16.0,5.0,4220.0,31.0,17.0,40.0,1.0,1.0
20.0,1.0,19.0,5.0,7800.0,29.0,17.0,9.0,2.0,1.0
19.0,4.0,18.0,5.0,5400.0,31.0,17.0,7.0,1.0,1.0
18.0,1.0,18.0,5.0,4760.0,31.0,17.0,17.0,2.0,1.0
28.0,1.0,19.0,5.0,800.0,31.0,17.0,40.0,2.0,1.0
23.0,1.0,19.0,5.0,4251.0,46.0,17.0,40.0,1.0,1.0
19.0,3.0,18.0,5.0,3960.0,31.0,17.0,20.0,2.0,9.0
43.0,1.0,18.0,1.0,9620.0,31.0,16.0,50.0,1.0,1.0
18.0,1.0,18.0,5.0,9620.0,55.0,17.0,40.0,2.0,1.0
22.0,1.0,13.0,5.0,6240.0,303.0,16.0,45.0,1.0,8.0
19.0,1.0,18.0,5.0,4720.0,31.0,17.0,15.0,2.0,1.0
18.0,1.0,16.0,5.0,9365.0,31.0,17.0,20.0,1.0,1.0
18.0,1.0,18.0,5.0,4850.0,31.0,17.0,14.0,2.0,1.0
19.0,2.0,18.0,5.0,2723.0,38.0,17.0,10.0,1.0,1.0
19.0,2.0,18.0,5.0,7260.0,31.0,17.0,15.0,1.0,1.0
45.0,1.0,19.0,3.0,6230.0,25.0,16.0,40.0,1.0,8.0
19.0,2.0,19.0,5.0,2722.0,27.0,17.0,15.0,2.0,1.0
24.0,1.0,16.0,5.0,9620.0,17.0,16.0,27.0,1.0,2.0
22.0,1.0,19.0,5.0,1021.0,19.0,17.0,25.0,1.0,1.0
18.0,1.0,18.0,5.0,4251.0,31.0,17.0,24.0,1.0,1.0
18.0,4.0,18.0,5.0,4251.0,17.0,17.0,16.0,1.0,1.0
20.0,1.0,19.0,5.0,9130.0,31.0,17.0,40.0,1.0,1.0
20.0,6.0,19.0,5.0,4600.0,31.0,17.0,5.0,2.0,1.0
22.0,1.0,19.0,5.0,1970.0,31.0,17.0,15.0,1.0,1.0
20.0,3.0,19.0,5.0,6410.0,19.0,17.0,40.0,1.0,1.0
36.0,1.0,17.0,3.0,4251.0,48.0,17.0,10.0,1.0,1.0
19.0,1.0,18.0,5.0,9640.0,31.0,17.0,20.0,1.0,1.0
19.0,1.0,18.0,5.0,6050.0,31.0,17.0,12.0,1.0,1.0
18.0,1.0,18.0,5.0,9620.0,55.0,17.0,40.0,2.0,1.0
18.0,1.0,18.0,5.0,4760.0,31.0,17.0,16.0,2.0,1.0
19.0,1.0,16.0,5.0,4720.0,6.0,17.0,12.0,1.0,6.0
18.0,2.0,19.0,5.0,2350.0,31.0,17.0,2.0,2.0,1.0
81.0,6.0,16.0,1.0,4700.0,31.0,16.0,50.0,1.0,1.0
28.0,4.0,19.0,5.0,4020.0,6.0,17.0,20.0,1.0,1.0
19.0,1.0,19.0,5.0,9620.0,31.0,17.0,39.0,2.0,1.0
39.0,1.0,20.0,3.0,7810.0,31.0,16.0,10.0,1.0,1.0
20.0,6.0,19.0,5.0,4251.0,29.0,17.0,30.0,1.0,1.0
20.0,3.0,18.0,5.0,4251.0,31.0,17.0,35.0,1.0,1.0
39.0,1.0,16.0,1.0,4010.0,303.0,16.0,50.0,1.0,1.0
18.0,1.0,18.0,5.0,9645.0,31.0,17.0,30.0,1.0,1.0
20.0,6.0,18.0,5.0,4600.0,19.0,17.0,40.0,2.0,1.0
20.0,2.0,18.0,5.0,4251.0,31.0,17.0,37.0,1.0,1.0
19.0,1.0,19.0,5.0,9640.0,31.0,17.0,40.0,2.0,1.0
21.0,4.0,19.0,5.0,1970.0,31.0,17.0,12.0,1.0,1.0
18.0,1.0,19.0,5.0,7810.0,31.0,17.0,40.0,1.0,1.0
18.0,1.0,16.0,5.0,4020.0,4.0,17.0,20.0,1.0,1.0
29.0,1.0,19.0,3.0,6260.0,31.0,17.0,45.0,1.0,1.0
26.0,1.0,19.0,5.0,9620.0,13.0,17.0,40.0,1.0,8.0
18.0,7.0,19.0,5.0,4251.0,31.0,17.0,7.0,1.0,1.0
52.0,1.0,13.0,3.0,8990.0,31.0,17.0,35.0,1.0,1.0
20.0,3.0,19.0,5.0,6410.0,19.0,17.0,40.0,1.0,1.0
19.0,4.0,18.0,5.0,4130.0,17.0,17.0,8.0,2.0,1.0
19.0,1.0,19.0,5.0,4600.0,6.0,17.0,3.0,2.0,1.0
26.0,1.0,19.0,5.0,9620.0,13.0,17.0,40.0,1.0,8.0
69.0,7.0,19.0,5.0,4700.0,31.0,16.0,50.0,1.0,1.0
20.0,6.0,19.0,5.0,4251.0,29.0,17.0,30.0,1.0,1.0
17.0,2.0,16.0,5.0,5400.0,31.0,17.0,12.0,1.0,1.0
20.0,2.0,19.0,5.0,4435.0,31.0,17.0,30.0,1.0,6.0
37.0,1.0,16.0,5.0,9645.0,31.0,16.0,40.0,1.0,1.0
19.0,3.0,18.0,5.0,3960.0,31.0,17.0,20.0,2.0,9.0
19.0,1.0,18.0,5.0,6050.0,31.0,17.0,65.0,1.0,1.0
35.0,1.0,17.0,3.0,5610.0,19.0,17.0,40.0,1.0,1.0
19.0,6.0,18.0,5.0,6260.0,31.0,17.0,38.0,1.0,1.0
37.0,1.0,16.0,5.0,9645.0,31.0,16.0,40.0,1.0,1.0
50.0,1.0,20.0,4.0,9620.0,31.0,17.0,10.0,1.0,1.0
19.0,1.0,19.0,5.0,4720.0,55.0,17.0,30.0,1.0,1.0
84.0,6.0,16.0,1.0,440.0,31.0,16.0,4.0,2.0,1.0
35.0,1.0,16.0,1.0,9640.0,31.0,16.0,48.0,1.0,2.0
22.0,1.0,19.0,5.0,1021.0,19.0,17.0,25.0,1.0,1.0
28.0,1.0,19.0,5.0,800.0,31.0,17.0,40.0,2.0,1.0
20.0,6.0,18.0,5.0,4600.0,31.0,17.0,5.0,2.0,1.0
19.0,1.0,19.0,5.0,9610.0,17.0,17.0,15.0,1.0,1.0
52.0,1.0,13.0,3.0,8990.0,31.0,17.0,35.0,1.0,1.0
52.0,1.0,13.0,3.0,8990.0,31.0,17.0,35.0,1.0,1.0
20.0,1.0,19.0,5.0,4600.0,46.0,17.0,25.0,2.0,1.0
21.0,4.0,19.0,5.0,230.0,215.0,17.0,18.0,2.0,6.0
19.0,1.0,19.0,5.0,4020.0,20.0,17.0,30.0,1.0,1.0
23.0,1.0,19.0,5.0,4030.0,31.0,17.0,27.0,1.0,1.0
28.0,4.0,19.0,5.0,4700.0,31.0,16.0,5.0,1.0,9.0
